customer_id,first_name,last_name,email,phone,gender,date_of_birth,city,signup_date,customer_segment,preferred_cuisine,total_orders,total_spend,average_order_value,last_order_date
1,Danielle,Johnson,john21@example.net,158189600133890,other,1965-08-26,lisatown,2025-07-24 22:42:54,low,Chinese,4,48.65,12.16,2025-12-14 22:42:54
2,Katherine,Moore,jpeterson@example.org,,male,1988-03-20,barbaraland,2024-11-24 13:27:59,mid,Fast Food,1,9.48,9.48,2026-01-31 13:27:59
3,Brandon,Perez,tracie31@example.com,5754255341928,male,1982-02-08,veronicaside,2025-04-07 14:06:44,low,Fast Food,3,54.7,18.23,2026-11-03 14:06:44
4,Jeffrey,Nguyen,perezantonio@example.com,54163953767242,female,2001-06-26,hurstfurt,2026-02-20 05:56:00,mid,Italian,3,35.24,11.75,2027-10-17 05:56:00
5,Michael,Osborn,williamdavis@example.org,9226691669,female,1988-04-18,lake nicoleview,2023-09-13 23:01:53,low,South Indian,1,19.87,19.87,2024-08-27 23:01:53
6,Kayla,Peterson,ryan70@example.net,124872814893252,male,1983-11-25,west natashaport,2023-09-26 09:08:01,high,Chinese,2,19.48,9.74,2024-10-20 09:08:01
7,John,Allen,millertodd@example.org,,other,1996-05-10,samuelhaven,2026-06-01 16:11:53,low,Chinese,1,21.72,21.72,2027-09-15 16:11:53
8,Shannon,Wright,morganbrianna@example.org,13305103105,other,1969-08-07,lewisberg,2026-07-01 08:17:14,high,North Indian,1,17.38,17.38,2028-04-05 08:17:14
9,Jennifer,Khan,esanchez@example.com,3112656670,other,1978-01-18,east jamesside,2025-02-04 05:06:21,low,South Indian,2,39.96,19.98,2025-03-23 05:06:21
10,Shane,Henderson,steven17@example.net,9085013267,female,1977-12-09,south aaron,2023-11-26 05:04:27,low,North Indian,2,45.08,22.54,2024-03-09 05:04:27
11,Peter,House,smitchell@example.net,12727343098,male,1954-07-16,shawhaven,2023-11-13 00:25:47,mid,Chinese,1,10.77,10.77,2024-11-11 00:25:47
12,Eric,Yu,yorkcasey@example.org,,other,1964-07-19,johnfurt,2026-07-02 12:10:55,mid,Beverages,0,0.0,0.0,
